source,target,weight
DG,YVV,1
DG,R,1
LG,R,1
LG,V,1
LG,O,1
V,LOB,1
W,O,1
W,B,1
W,DGO,1
B,DGO,1
R,DGO,1
R,V,1
R,B,1
B,V,1
B,YVV,1
YVV,V,1
YVV,W,1
W,LG,1
DGO,YVV,1
DGO,B,1
YVV,B,1
DG,O,1
DG,V,1
O,V,1
O,W,1
LG,V,1
LG,W,1
W,V,1
W,R,1
O,LG,1
O,R,1
O,V,1
V,LG,1
V,R,1
V,YVV,1
W,B,1
W,DGO,1
DGO,DG,1
LG,V,1
LG,R,1
R,DGO,1
R,O,1
O,DGO,1
O,W,1
W,YVV,1
W,B,1
B,YVV,1
W,P,1
B,LG,1
B,O,1
B,YV,1
O,LG,1
YV,DG,1
YV,LOB,1
LOB,DG,1
DG,LOB,1
DG,O,1
DG,YV,1
O,LOB,1
O,YV,1
R,W,1
R,B,1
R,P,1
R,LG,1
R,V,1
B,LG,1
B,P,1
B,V,1
V,P,1
V,LG,1
P,LG,1
LG,W,1
LOB,DG,1
LOB,V,1
DG,V,1
B,R,1
B,O,1
R,O,1
W,YV,1
W,DG,1
W,B,1
W,V,1
W,P,1
W,R,1
W,O,1
YV,DG,1
YV,B,1
YV,V,1
YV,P,1
YV,R,1
YV,O,1
DG,B,1
DG,V,1
DG,P,1
DG,R,1
DG,O,1
B,V,1
B,P,1
B,R,1
B,O,1
V,P,1
V,R,1
V,O,1
P,R,1
P,O,1
R,O,1
R,O,1
YV,LOB,1
YV,P,1
YV,LG,1
YV,B,1
YV,DG,1
LOB,P,1
DG,LG,1
DG,B,1
DG,W,1
W,V,1
DG,YV,1
DG,P,1
O,P,1
O,LG,1
LG,W,1
LG,LOB,1
W,LOB,1
R,LOB,1
R,B,1
B,V,1
LOB,V,1
O,DG,1
O,LG,1
P,LG,1
P,YV,1
P,B,1
B,YV,1
B,R,1
B,V,1
B,R,1
B,YV,1
R,V,1
R,O,1
LG,O,1
LG,DG,1
LOB,P,1
LOB,DG,1
LG,P,1
LG,LOB,1
LOB,W,1
B,R,1
B,YV,1
B,DG,1
B,O,1
B,V,1
R,YV,1
R,DG,1
R,O,1
R,V,1
W,YV,1
W,DG,1
W,O,1
W,V,1
YV,DG,1
YV,O,1
YV,V,1
DG,O,1
DG,V,1
O,V,1
LOB,P,1
P,DG,1
DG,W,1
LOB,YV,1
LOB,V,1
LOB,B,1
LOB,R,1
LOB,O,1
P,YV,1
P,V,1
P,B,1
P,R,1
P,O,1
DG,YV,1
DG,V,1
DG,B,1
DG,R,1
DG,O,1
YV,V,1
YV,B,1
YV,R,1
YV,O,1
V,B,1
V,R,1
V,O,1
B,R,1
B,O,1
R,O,1
LG,DG,1
LG,W,1
W,V,1
W,O,1
W,R,1
B,YV,1
B,R,1
O,R,1
O,V,1
V,P,1
V,LOB,1
P,LOB,1
V,O,1
V,B,1
B,O,1
B,DG,1
B,YV,1
DG,O,1
DG,YV,1
DG,LG,1
YV,LG,1
LG,W,1
YV,R,1
B,YV,1
B,LG,1
O,LG,1
O,P,1
O,DG,1
DG,P,1
DG,V,1
DG,W,1
V,W,1
O,DG,1
O,P,1
LG,YV,1
LG,V,1
V,B,1
B,LG,1
B,P,1
R,V,1
YV,O,1
YV,DG,1
LG,YV,1
LG,B,1
LG,DG,1
B,YV,1
B,DG,1
B,V,1
DG,V,1
R,YV,1
R,B,1
R,LG,1
LG,B,1
LG,DG,1
LG,V,1
B,V,1
R,DG,1
R,B,1
R,LG,1
B,DG,1
B,LG,1
B,V,1
V,YV,1
YV,V,1
YV,R,1
R,V,1
R,LG,1
R,LOB,1
R,LG,1
LOB,LG,1
P,O,1
P,W,1
P,DG,1
O,W,1
DG,W,1
DG,V,1
DG,YV,1
V,YV,1
V,B,1
YV,B,1
LG,B,1
LG,R,1
LG,DG,1
DG,R,1
DG,V,1
O,V,1
O,P,1
P,LOB,1
P,W,1
W,YV,1
DG,LOB,1
YV,W,1
LOB,LG,1
LOB,B,1
LOB,V,1
LOB,P,1
LOB,R,1
LOB,O,1
W,LG,1
W,B,1
W,V,1
W,P,1
W,R,1
W,O,1
LG,B,1
LG,V,1
LG,P,1
LG,R,1
LG,O,1
B,V,1
B,P,1
B,R,1
B,O,1
V,P,1
V,R,1
V,O,1
P,R,1
P,O,1
R,O,1
LG,R,1
LG,V,1
O,W,1
O,YV,1
W,P,1
W,DG,1
W,LOB,1
YV,P,1
YV,DG,1
YV,LOB,1
P,DG,1
P,LOB,1
DG,LOB,1
LG,DG,1
LG,V,1
LG,YV,1
LG,P,1
P,YV,1
P,LOB,1
V,DG,1
V,YV,1
V,O,1
YV,LOB,1
YV,O,1
W,O,1
W,R,1
W,B,1
R,B,1
LOB,B,1
LOB,W,1
O,W,1
O,V,1
V,R,1
V,LG,1
V,YV,1
V,DG,1
YV,DG,1
V,LOB,1
V,W,1
V,YV,1
V,P,1
YV,W,1
YV,P,1
O,P,1
O,B,1
R,B,1
R,DG,1
B,DG,1
LG,B,1
LG,O,1
O,B,1
O,YV,1
O,LOB,1
P,YV,1
P,LOB,1
YV,LOB,1
P,R,1
P,V,1
R,DG,1
R,V,1
W,DG,1
W,V,1
DG,W,1
DG,R,1
DG,YV,1
YV,R,1
YV,P,1
YV,V,1
V,P,1
V,LG,1
LOB,O,1
O,LG,1
LG,YV,1
YV,DG,1
LG,R,1
R,DG,1
R,P,1
P,V,1
LOB,B,1
B,DG,1
B,W,1
B,O,1
O,W,1
O,V,1
V,YV,1
YV,R,1
LG,LOB,1
LG,P,1
LOB,P,1
O,R,1
O,YV,1
R,YV,1
YV,P,1
YV,V,1
V,P,1
LG,LOB,1
LOB,W,1
W,DG,1
DG,B,1
P,O,1
P,LG,1
O,LG,1
R,B,1
R,W,1
W,LOB,1
W,V,1
DG,V,1
DG,YV,1
W,DG,1
W,P,1
DG,P,1
W,LG,1
O,LG,1
O,R,1
R,LOB,1
R,YV,1
R,B,1
YV,B,1
YV,LOB,1
B,LOB,1
W,V,1
LG,B,1
LG,LOB,1
LOB,YV,1
LOB,O,1
O,R,1
O,DG,1
DG,R,1
DG,P,1
B,P,1
B,O,1
DG,O,1
DG,LOB,1
DG,R,1
R,YV,1
R,LOB,1
LOB,LG,1
LOB,W,1
LG,W,1
LG,V,1
W,V,1
R,DG,1
R,B,1
R,W,1
W,B,1
W,YV,1
LOB,LG,1
LOB,V,1
LOB,O,1
V,LG,1
V,O,1
V,R,1
O,R,1
W,LOB,1
W,DG,1
DG,LOB,1
DG,LG,1
DG,R,1
YV,LG,1
YV,O,1
YV,P,1
V,B,1
V,P,1
R,LOB,1
R,DG,1
R,YV,1
B,YV,1
B,V,1
B,P,1
P,V,1
P,LG,1
LG,O,1
LOB,YV,1
LOB,V,1
V,P,1
V,B,1
B,W,1
B,LG,1
W,R,1
W,DG,1
W,LG,1
LG,P,1
LG,DG,1
LG,O,1
DG,R,1
DG,O,1
LOB,R,1
O,YV,1
O,W,1
O,DG,1
O,V,1
W,YV,1
W,DG,1
DG,V,1
DG,P,1
P,V,1
O,P,1
O,V,1
O,LG,1
V,P,1
V,LG,1
V,W,1
LG,W,1
YV,DG,1
YV,B,1
R,DG,1
R,B,1
DG,B,1
P,B,1
P,YV,1
P,W,1
W,B,1
W,YV,1
DG,LG,1
DG,O,1
R,O,1
R,V,1
V,LOB,1
R,DG,1
R,O,1
R,YV,1
R,P,1
O,DG,1
O,YV,1
O,LOB,1
YV,P,1
YV,LOB,1
YV,B,1
LOB,B,1
LOB,LG,1
LG,V,1
YV,LG,1
YV,P,1
O,P,1
O,DG,1
DG,V,1
V,W,1
V,LOB,1
W,LOB,1
W,B,1
W,R,1
LOB,B,1
LOB,R,1
B,R,1
LG,V,1
LG,W,1
LG,LOB,1
W,B,1
W,LOB,1
LOB,O,1
LOB,DG,1
LOB,P,1
LOB,R,1
O,DG,1
O,P,1
O,R,1
DG,P,1
DG,R,1
P,R,1
V,O,1
V,R,1
W,R,1
W,B,1
W,P,1
P,B,1
P,DG,1
DG,LG,1
DG,B,1
DG,O,1
O,R,1
O,V,1
DG,V,1
V,W,1
LOB,W,1
LOB,P,1
B,LG,1
DG,LOB,1
DG,P,1
LOB,O,1
O,R,1
R,W,1
W,O,1
W,LOB,1
W,R,1
R,LOB,1
R,B,1
DG,LG,1
DG,P,1
O,B,1
O,DG,1
DG,B,1
R,P,1
P,W,1
P,LOB,1
P,R,1
LG,LOB,1
LG,O,1
LG,W,1
O,LOB,1
O,W,1
LOB,W,1
O,P,1
O,LG,1
O,LOB,1
P,LG,1
P,LOB,1
LOB,DG,1
LOB,W,1
LOB,R,1
R,W,1
R,DG,1
W,DG,1
LOB,DG,1
LOB,W,1
DG,W,1
DG,R,1
O,P,1
R,LG,1
R,W,1
LG,W,1
LG,LOB,1
LG,DG,1
DG,W,1
DG,P,1
W,P,1
DG,LG,1
DG,O,1
O,W,1
O,R,1
O,P,1
R,W,1
R,P,1
R,LOB,1
P,W,1
P,LOB,1
R,LG,1
R,W,1
W,LG,1
W,LOB,1
P,LOB,1
P,O,1
P,DG,1
O,LOB,1
O,DG,1
P,DG,1
P,W,1
DG,W,1
DG,O,1
DG,R,1
R,W,1
R,O,1
R,LOB,1
O,W,1
O,LG,1
LOB,P,1
YV,B,1
YV,DG,1
DG,LG,1
LG,V,1
V,W,1
W,R,1
O,LG,1
O,B,1
B,V,1
B,R,1
R,V,1
R,DG,1
R,W,1
DG,V,1
DG,W,1
B,P,1
R,LG,1
R,YV,1
LG,YV,1
V,W,1
P,V,1
O,LOB,1
O,DG,1
W,YV,1
LG,R,1
P,O,1
P,B,1
P,R,1
P,W,1
P,DG,1
P,V,1
P,YV,1
O,R,1
O,W,1
O,DG,1
O,V,1
O,YV,1
B,R,1
B,W,1
B,DG,1
B,V,1
B,YV,1
LOB,R,1
LOB,W,1
LOB,DG,1
LOB,V,1
LOB,YV,1
LG,R,1
LG,W,1
LG,DG,1
LG,V,1
LG,YV,1
R,W,1
R,DG,1
R,V,1
R,YV,1
W,DG,1
W,V,1
W,YV,1
DG,V,1
DG,YV,1
V,YV,1
V,YV,1
W,LOB,1
O,R,1
O,B,1
DG,B,1
DG,P,1
B,V,1
B,DG,1
B,YV,1
LOB,DG,1
LOB,YV,1
R,O,1
R,DG,1
R,YV,1
O,DG,1
O,YV,1
DG,YV,1
P,YV,1
P,DG,1
V,YV,1
V,DG,1
YV,DG,1
R,V,1
R,LG,1
O,LG,1
O,W,1
O,LOB,1
W,LOB,1
W,R,1
W,LG,1
LG,DG,1
LG,V,1
DG,V,1
R,B,1
R,YV,1
R,O,1
LG,B,1
LG,YV,1
LG,O,1
V,B,1
V,YV,1
V,O,1
B,YV,1
B,O,1
YV,O,1
W,B,1
W,LG,1
W,V,1
W,R,1
B,LG,1
B,V,1
B,R,1
LOB,LG,1
LOB,V,1
LOB,R,1
LOB,DG,1
DG,LG,1
DG,V,1
DG,R,1
DG,O,1
LG,V,1
LG,R,1
V,R,1
LG,P,1
R,LOB,1
R,O,1
LOB,DG,1
LOB,B,1
LOB,O,1
LOB,V,1
DG,B,1
DG,O,1
DG,V,1
B,O,1
B,V,1
O,V,1
V,W,1
W,P,1
W,R,1
P,R,1
P,LOB,1
R,LOB,1
LOB,DG,1
R,LG,1
LG,DG,1
LG,B,1
B,O,1
O,P,1
O,W,1
P,W,1
DG,V,1
DG,R,1
DG,LG,1
V,R,1
V,LG,1
V,B,1
LG,R,1
LG,B,1
B,LOB,1
B,O,1
B,LG,1
B,P,1
O,LG,1
R,DG,1
R,V,1
P,R,1
P,DG,1
B,W,1
B,LOB,1
B,P,1
P,W,1
P,LOB,1
LG,LOB,1
LG,V,1
DG,B,1
DG,P,1
DG,V,1
LG,LOB,1
LG,W,1
LG,O,1
LG,B,1
O,P,1
O,LOB,1
O,DG,1
O,B,1
LOB,P,1
LOB,DG,1
LOB,V,1
LOB,W,1
DG,B,1
DG,W,1
DG,V,1
V,W,1
DG,W,1
DG,O,1
DG,LOB,1
V,LOB,1
V,LG,1
B,LG,1
B,W,1
W,O,1
V,LG,1
V,W,1
W,DG,1
W,O,1
W,B,1
B,DG,1
B,O,1
O,DG,1
YV,P,1
YV,LOB,1
P,LOB,1
YV,DG,1
YV,LG,1
LG,DG,1
LG,O,1
LG,V,1
V,DG,1
V,W,1
LOB,W,1
R,LG,1
R,O,1
R,V,1
R,YV,1
O,LG,1
O,V,1
P,V,1
P,YV,1
YV,V,1
YV,DG,1
W,YV,1
W,LG,1
W,DG,1
W,V,1
W,P,1
W,O,1
W,LOB,1
YV,LG,1
YV,DG,1
YV,V,1
YV,P,1
YV,O,1
YV,LOB,1
LG,DG,1
LG,V,1
LG,P,1
LG,O,1
LG,LOB,1
DG,V,1
DG,P,1
DG,O,1
DG,LOB,1
V,P,1
V,O,1
V,LOB,1
P,O,1
P,LOB,1
O,LOB,1
V,DG,1
V,P,1
V,LOB,1
YV,LOB,1
YV,R,1
O,R,1
O,W,1
O,LG,1
LG,W,1
YV,P,1
YV,LG,1
YV,LOB,1
YV,V,1
LG,P,1
LG,LOB,1
LG,O,1
O,W,1
O,LOB,1
O,DG,1
LOB,V,1
LOB,R,1
LOB,DG,1
R,V,1
R,DG,1
DG,P,1
DG,LOB,1
P,LOB,1
B,R,1
V,O,1
V,YV,1
V,LG,1
YV,O,1
YV,LG,1
O,R,1
O,V,1
O,LG,1
LG,P,1
LG,V,1
P,DG,1
P,YV,1
P,W,1
YV,LOB,1
DG,W,1
DG,B,1
W,B,1
B,DG,1
R,LOB,1
R,V,1
V,P,1
V,LG,1
V,W,1
P,LG,1
P,W,1
LG,W,1
W,DG,1
W,LG,1
LG,V,1
LG,LOB,1
LOB,V,1
LOB,YV,1
V,YV,1
P,O,1
LG,P,1
P,W,1
LG,R,1
P,DG,1
DG,O,1
LOB,O,1
YV,V,1
YV,B,1
O,B,1
O,LG,1
LG,W,1
LG,DG,1
W,YV,1
W,DG,1
W,V,1
DG,R,1
DG,LOB,1
LOB,R,1
LOB,V,1
V,YV,1
V,P,1
B,LG,1
V,YV,1
YV,O,1
P,DG,1
O,W,1
O,LOB,1
O,R,1
YV,W,1
YV,LOB,1
YV,R,1
V,W,1
V,LOB,1
V,R,1
P,W,1
P,LOB,1
P,R,1
DG,W,1
DG,LOB,1
DG,R,1
W,LOB,1
W,R,1
LOB,R,1
O,V,1
O,DG,1
V,DG,1
R,W,1
R,YV,1
R,LOB,1
YV,LOB,1
YV,P,1
YV,LG,1
LOB,LG,1
LOB,B,1
LG,P,1
LG,B,1
LG,B,1
LG,LOB,1
LG,O,1
O,LOB,1
O,W,1
DG,W,1
DG,R,1
V,YV,1
V,DG,1
V,YV,1
R,YV,1
R,B,1
LG,B,1
LG,O,1
LG,W,1
W,O,1
W,LOB,1
YV,DG,1
YV,LG,1
YV,R,1
LG,R,1
LG,O,1
O,R,1
O,LOB,1
O,W,1
LOB,R,1
LOB,W,1
LG,B,1
LG,O,1
LG,R,1
YV,R,1
YV,LOB,1
V,LOB,1
V,W,1
V,DG,1
W,DG,1
O,R,1
O,V,1
O,LOB,1
LOB,V,1
LG,LOB,1
LG,V,1
LG,W,1
YV,W,1
YV,DG,1
V,B,1
V,R,1
W,O,1
W,LG,1
W,DG,1
DG,LG,1
DG,YV,1
DG,LOB,1
LOB,LG,1
LOB,YV,1
YV,LG,1
DG,V,1
DG,P,1
P,V,1
P,YV,1
YV,W,1
W,B,1
R,LG,1
P,W,1
P,B,1
P,R,1
B,W,1
B,R,1
B,YV,1
R,YV,1
R,V,1
DG,V,1
DG,YV,1
YV,V,1
P,LOB,1
P,YV,1
YV,B,1
B,V,1
V,LG,1
LG,R,1
DG,V,1
DG,R,1
DG,LOB,1
R,V,1
R,LOB,1
P,LOB,1
P,B,1
LG,YV,1
LG,W,1
R,W,1
YV,P,1
YV,V,1
YV,DG,1
YV,B,1
DG,V,1
DG,B,1
DG,YV,1
DG,LOB,1
LOB,W,1
P,V,1
P,B,1
B,LG,1
W,DG,1
LG,YV,1
LG,P,1
P,YV,1
B,V,1
B,LOB,1
B,R,1
LOB,R,1
DG,W,1
DG,LOB,1
LOB,P,1
LOB,R,1
LG,P,1
LG,R,1
P,R,1
LG,YV,1
LG,B,1
B,YV,1
B,V,1
B,O,1
B,V,1
V,LOB,1
LG,P,1
LG,YV,1
LOB,R,1
LOB,DG,1
LOB,W,1
P,R,1
P,DG,1
P,W,1
LG,R,1
LG,DG,1
LG,W,1
R,DG,1
R,W,1
DG,W,1
B,DG,1
DG,R,1
V,P,1
P,R,1
P,LG,1
P,LG,1
YV,P,1
YV,LG,1
YV,W,1
YV,R,1
R,W,1
R,B,1
B,LOB,1
B,DG,1
DG,LOB,1
DG,V,1
YV,W,1
W,P,1
P,R,1
R,LG,1
B,V,1
R,LG,1
R,W,1
R,YV,1
W,LG,1
W,YV,1
W,P,1
W,DG,1
YV,LG,1
YV,P,1
YV,DG,1
DG,P,1
P,DG,1
P,R,1
R,LOB,1
P,W,1
P,YV,1
P,LG,1
P,V,1
R,W,1
R,YV,1
R,LG,1
R,V,1
LOB,W,1
LOB,YV,1
LOB,LG,1
LOB,V,1
W,YV,1
W,LG,1
W,V,1
YV,LG,1
YV,V,1
LG,V,1
V,LOB,1
V,P,1
P,YV,1
YV,R,1
YV,LG,1
LG,R,1
LG,DG,1
LOB,P,1
LOB,LG,1
P,LG,1
P,YV,1
P,W,1
LG,W,1
LG,V,1
W,YV,1
W,V,1
W,R,1
YV,R,1
YV,W,1
YV,LG,1
W,LG,1
R,P,1
YV,W,1
YV,R,1
R,P,1
P,LG,1
P,R,1
V,LG,1
V,LOB,1
LG,LOB,1
P,O,1
P,WB,1
WB,O,1
WB,YV,1
WB,OLG,1
YV,OLG,1
YV,DG,1
DG,OLG,1
V,B,1
V,WB,1
O,WB,1
LOB,OLG,1
LOB,DG,1
DG,OLG,1
R,P,1
R,YV,1
YV,P,1
DG,WB,1
DG,B,1
DG,YV,1
B,YV,1
R,LG,1
R,OLG,1
OLG,LOB,1
LOB,V,1
V,P,1
P,WB,1
P,YV,1
P,DG,1
P,V,1
P,R,1
P,OLG,1
B,WB,1
B,YV,1
B,DG,1
B,V,1
B,R,1
B,OLG,1
WB,YV,1
WB,DG,1
WB,V,1
WB,R,1
WB,OLG,1
YV,DG,1
YV,V,1
YV,R,1
YV,OLG,1
DG,V,1
DG,R,1
DG,OLG,1
V,R,1
V,OLG,1
R,OLG,1
WB,LOB,1
WB,B,1
LOB,B,1
OLG,YV,1
OLG,V,1
OLG,R,1
OLG,P,1
OLG,DG,1
V,YV,1
V,R,1
P,R,1
P,DG,1
R,YV,1
R,LG,1
LG,WB,1
LOB,V,1
LOB,P,1
OLG,P,1
OLG,DG,1
YV,LOB,1
YV,R,1
YV,DG,1
R,LOB,1
R,DG,1
P,V,1
WB,LG,1
B,OLG,1
V,LG,1
V,P,1
V,OLG,1
P,OLG,1
P,YV,1
WB,OLG,1
WB,B,1
B,LOB,1
B,R,1
R,DG,1
LG,YV,1
LG,LOB,1
LOB,R,1
LOB,WB,1
WB,R,1
WB,DG,1
B,DG,1
B,V,1
B,P,1
B,OLG,1
DG,P,1
DG,OLG,1
V,P,1
V,OLG,1
P,OLG,1
LOB,R,1
R,WB,1
R,OLG,1
R,YV,1
LG,DG,1
LG,WB,1
LG,OLG,1
LG,YV,1
DG,WB,1
DG,OLG,1
DG,YV,1
YV,WB,1
YV,OLG,1
WB,OLG,1
B,P,1
P,V,1
LOB,R,1
LOB,V,1
V,R,1
V,LG,1
P,R,1
P,WB,1
P,V,1
V,WB,1
LOB,WB,1
LG,R,1
R,B,1
DG,YV,1
V,OLG,1
V,P,1
OLG,P,1
OLG,WB,1
OLG,DG,1
WB,DG,1
LOB,B,1
LOB,P,1
LOB,YV,1
P,YV,1
R,LG,1
R,V,1
LG,OLG,1
YV,P,1
B,LOB,1
B,WB,1
WB,DG,1
LOB,R,1
LOB,DG,1
B,DG,1
B,P,1
B,OLG,1
P,OLG,1
LOB,OLG,1
WB,DG,1
WB,YV,1
DG,YV,1
P,LG,1
P,B,1
LG,B,1
WB,P,1
WB,YV,1
WB,OLG,1
P,B,1
P,OLG,1
YV,OLG,1
YV,LOB,1
B,OLG,1
B,YV,1
YV,P,1
YV,WB,1
P,WB,1
P,LOB,1
LOB,WB,1
LOB,LG,1
LG,DG,1
LOB,OLG,1
LOB,YV,1
YV,LG,1
YV,P,1
P,WB,1
P,B,1
WB,DG,1
LG,LOB,1
LG,W,1
LG,YV,1
YV,V,1
V,O,1
O,W,1
W,LOB,1
LOB,B,1
P,DG,1
R,LOB,1
R,W,1
V,W,1
V,O,1
V,YV,1
O,W,1
O,YV,1
W,B,1
W,DG,1
O,LOB,1
P,LG,1
P,YV,1
V,P,1
YV,W,1
YV,LG,1
YV,DG,1
YV,B,1
YV,R,1
YV,O,1
YV,LOB,1
W,LG,1
W,DG,1
W,B,1
W,R,1
W,O,1
W,LOB,1
LG,DG,1
LG,B,1
LG,R,1
LG,O,1
LG,LOB,1
DG,B,1
DG,R,1
DG,O,1
DG,LOB,1
B,R,1
B,O,1
B,LOB,1
R,O,1
R,LOB,1
O,LOB,1
R,YV,1
R,P,1
P,YV,1
V,W,1
V,LOB,1
W,LOB,1
DG,O,1
DG,LG,1
O,LG,1
V,LOB,1
YV,LG,1
R,DG,1
O,P,1
O,B,1
B,P,1
B,W,1
DG,LOB,1
LG,W,1
V,R,1
B,R,1
B,O,1
B,YV,1
O,YV,1
LOB,W,1
LOB,YV,1
W,YV,1
B,W,1
B,YV,1
B,V,1
V,O,1
V,LG,1
P,LG,1
P,DG,1
W,DG,1
W,LG,1
W,B,1
B,YV,1
B,LOB,1
LOB,YV,1
LOB,O,1
LOB,V,1
B,YV,1
B,O,1
B,DG,1
YV,O,1
O,DG,1
O,LG,1
O,P,1
DG,W,1
W,P,1
LG,V,1
LG,LOB,1
P,V,1
P,LOB,1
V,LOB,1
B,O,1
W,LG,1
W,V,1
V,P,1
V,DG,1
V,B,1
P,DG,1
P,B,1
DG,B,1
V,YV,1
V,DG,1
YV,DG,1
YV,W,1
YV,B,1
DG,W,1
W,B,1
W,DG,1
P,YV,1
P,LOB,1
P,O,1
P,V,1
YV,LOB,1
YV,O,1
YV,V,1
LOB,O,1
LOB,V,1
O,V,1
O,W,1
O,V,1
W,V,1
O,B,1
P,B,1
P,LOB,1
LOB,YV,1
DG,P,1
DG,LOB,1
LOB,P,1
LOB,O,1
V,B,1
V,W,1
V,YV,1
O,P,1
O,DG,1
DG,W,1
DG,V,1
W,V,1
W,B,1
B,LOB,1
DG,LOB,1
YV,W,1
YV,P,1
W,P,1
W,B,1
W,V,1
B,P,1
B,O,1
B,V,1
O,V,1
DG,O,1
DG,P,1
B,P,1
B,YV,1
B,W,1
V,W,1
V,LOB,1
DG,YV,1
DG,V,1
DG,O,1
DG,P,1
O,V,1
O,P,1
O,LOB,1
W,LOB,1
W,B,1
V,LOB,1
LOB,W,1
W,B,1
B,O,1
B,LG,1
O,LG,1
LG,R,1
LG,YV,1
YV,R,1
YV,DG,1
R,DG,1
DG,P,1
P,B,1
B,O,1
B,LOB,1
O,LOB,1
O,W,1
LOB,W,1
LOB,LG,1
LOB,YV,1
W,LG,1
W,V,1
YV,LG,1
V,P,1
V,LOB,1
LOB,YV,1
LOB,R,1
YV,R,1
YV,W,1
W,R,1
W,O,1
DG,LG,1
DG,B,1
LOB,B,1
LOB,P,1
LOB,LG,1
LG,P,1
LG,O,1
LG,DG,1
YV,W,1
YV,R,1
R,V,1
O,W,1
O,LOB,1
B,LOB,1
B,V,1
B,R,1
B,DG,1
V,LOB,1
V,P,1
V,DG,1
P,DG,1
P,LG,1
DG,LG,1
DG,YV,1
DG,R,1
YV,R,1
YV,LG,1
O,V,1
W,P,1
W,R,1
R,DG,1
R,LG,1
LG,B,1
R,LOB,1
R,YV,1
DG,LOB,1
DG,YV,1
LOB,YV,1
DG,B,1
DG,W,1
DG,YV,1
W,YV,1
W,LOB,1
LOB,YV,1
LOB,LG,1
LG,P,1
LG,O,1
O,P,1
O,V,1
LG,B,1
LG,W,1
B,W,1
LG,DG,1
B,DG,1
R,DG,1
R,LOB,1
V,LOB,1
V,YV,1
W,V,1
W,R,1
W,P,1
V,R,1
P,R,1
P,V,1
LOB,YV,1
LOB,B,1
B,O,1
DG,LG,1
V,B,1
B,DG,1
B,W,1
LOB,P,1
B,W,1
B,DG,1
DG,LOB,1
DG,LG,1
LG,YV,1
LG,V,1
LG,P,1
YV,LOB,1
YV,V,1
YV,O,1
V,O,1
V,P,1
O,W,1
O,B,1
B,P,1
B,YV,1
YV,P,1
V,R,1
V,LG,1
LOB,P,1
LOB,YV,1
YV,O,1
YV,DG,1
O,DG,1
YV,P,1
V,P,1
V,YV,1
V,LOB,1
LOB,LG,1
LOB,O,1
O,LG,1
O,DG,1
DG,LG,1
DG,B,1
R,B,1
R,W,1
LOB,YV,1
LOB,DG,1
LOB,P,1
DG,YV,1
DG,P,1
LG,P,1
LG,O,1
LG,W,1
O,V,1
O,R,1
R,W,1
R,B,1
W,B,1
O,P,1
YV,DG,1
YV,B,1
DG,B,1
LG,W,1
LG,V,1
W,V,1
LOB,LG,1
LOB,B,1
LOB,O,1
LOB,P,1
DG,O,1
DG,P,1
DG,YV,1
DG,W,1
YV,P,1
YV,W,1
YV,W,1
YV,O,1
YV,DG,1
YV,LOB,1
DG,B,1
DG,O,1
DG,LOB,1
LOB,O,1
LOB,V,1
V,P,1
LG,DG,1
DG,P,1
DG,YV,1
R,LG,1
LG,LOB,1
R,LOB,1
LOB,P,1
LOB,B,1
LOB,W,1
LOB,YV,1
LOB,DG,1
LOB,V,1
P,B,1
P,W,1
P,YV,1
P,DG,1
P,V,1
B,W,1
B,YV,1
B,DG,1
B,V,1
W,YV,1
W,DG,1
W,V,1
YV,DG,1
YV,V,1
DG,V,1
YV,R,1
YV,P,1
P,R,1
P,LOB,1
LOB,DG,1
DG,LG,1
DG,O,1
DG,B,1
LG,B,1
B,O,1
B,W,1
O,W,1
O,V,1
W,V,1
R,DG,1
R,YV,1
R,V,1
R,P,1
P,V,1
P,LOB,1
LOB,V,1
LOB,B,1
LOB,LG,1
LOB,O,1
LG,O,1
LG,W,1
LG,B,1
O,V,1
LG,P,1
LG,YV,1
B,R,1
B,DG,1
B,LOB,1
B,W,1
R,LOB,1
R,W,1
YV,LOB,1
YV,W,1
LOB,W,1
V,LOB,1
V,O,1
V,YV,1
V,B,1
O,LOB,1
O,YV,1
O,R,1
YV,B,1
YV,R,1
YV,P,1
P,B,1
P,R,1
V,LG,1
V,W,1
W,LG,1
B,R,1
B,W,1
B,V,1
W,V,1
B,YV,1
YV,LOB,1
YV,P,1
P,LG,1
LOB,DG,1
LOB,O,1
LG,DG,1
LG,O,1
DG,O,1
W,LOB,1
W,YV,1
W,V,1
W,LG,1
YV,LOB,1
YV,V,1
V,LG,1
V,R,1
LG,R,1
LG,P,1
P,R,1
P,B,1
B,DG,1
P,DG,1
P,LOB,1
P,YV,1
P,W,1
YV,LOB,1
YV,W,1
V,W,1
V,B,1
LG,R,1
LG,B,1
R,B,1
R,YV,1
R,DG,1
LG,YV,1
LG,W,1
W,LOB,1
B,P,1
B,V,1
V,P,1
LG,LOB,1
LOB,V,1
LOB,B,1
V,B,1
W,YV,1
YV,DG,1
R,P,1
LG,P,1
YV,P,1
YV,V,1
W,DG,1
LOB,DG,1
LOB,R,1
B,R,1
R,DG,1
R,V,1
V,DG,1
DG,LG,1
DG,P,1
DG,W,1
V,LG,1
V,P,1
V,W,1
LOB,LG,1
LOB,P,1
LOB,W,1
LG,P,1
LG,W,1
P,W,1
P,W,1
P,YV,1
YV,LOB,1
YV,DG,1
YV,V,1
DG,LOB,1
DG,V,1
